brand,product,category,character,type,time,duration,location,visibility,hasLogo,quote,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Ray's Pizza,food,food & drink,Tony Stark - Iron Man,sighting,0:00:13,0:00:05,living room,subtle,Yes,,Robert Downey Jr.,male,43,white,,,,,1:00:13
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:00:23,0:00:05,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,1:00:23
Goodyear,tire(s),vehicle,Tony Stark - Iron Man,sighting,0:00:28,0:00:02,Garage workshop,background,Yes,,Robert Downey Jr.,male,43,white,,,,,1:00:28
Shelby Cobra,car,vehicle,Tony Stark - Iron Man,sighting,0:00:28,0:00:05,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,1:00:28
Saleen,car,vehicle,Tony Stark - Iron Man,sighting,0:00:24,0:00:09,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,1:00:24
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:00:34,0:00:36,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,1:00:34
Shelby Cobra,Car,vehicle,tony Stark - Iron Man,sighting,0:00:34,0:00:36,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Goodyear,tire(s),vehicle,tony Stark - Iron Man,sighting,0:00:34,0:00:36,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Saleen,Car,vehicle,tony Stark - Iron Man,sighting,0:00:34,0:00:36,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,Car,vehicle,tony Stark - Iron Man,sighting,0:00:34,0:00:36,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:04,0:00:02,workshop,subtle,Yes,,Robert Downey Jr.,male,43,white,,,,,
Texaco,sign,establishement,Tony Stark - Iron Man,sighting,0:01:04,0:00:02,Garage workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:01:10,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,tony Stark - Iron Man,sighting,0:01:10,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,Car,vehicle,tony Stark - Iron Man,sighting,0:01:17,0:00:01,Garage workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:21,0:00:01,workshop,subtle,Yes,,Robert Downey Jr.,male,43,white,,,,,
Texaco,sign,establishement,Tony Stark - Iron Man,sighting,0:01:22,0:00:03,Garage workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:01:22,0:00:03,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,tony Stark - Iron Man,sighting,0:01:22,0:00:03,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Goodyear,tire(s),vehicle,tony Stark - Iron Man,sighting,0:01:22,0:00:03,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:26,0:00:01,workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,tony Stark - Iron Man,sighting,0:01:28,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:30,0:00:02,workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:37,0:00:03,workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:53,0:00:01,workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
Texaco,sign,establishement,Tony Stark - Iron Man,sighting,0:01:53,0:00:01,Garage workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:01:53,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,tony Stark - Iron Man,sighting,0:01:53,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Goodyear,tire(s),vehicle,tony Stark - Iron Man,sighting,0:01:53,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Saleen,Car,vehicle,tony Stark - Iron Man,sighting,0:01:54,0:00:15,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,Car,vehicle,tony Stark - Iron Man,sighting,0:01:54,0:00:15,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,tony Stark - Iron Man,sighting,0:01:54,0:00:15,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Goodyear,tire(s),vehicle,tony Stark - Iron Man,sighting,0:01:54,0:00:15,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Texaco,sign,establishement,Tony Stark - Iron Man,sighting,0:02:22,0:00:03,Garage workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:02:23,0:00:04,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,Tony Stark - Iron Man,sighting,0:02:26,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Goodyear,tire(s),vehicle,Tony Stark - Iron Man,sighting,0:02:26,0:00:01,Garage workshop,background,Yes,,Robert Downey Jr.,male,43,white,,,,,
Saleen,car,vehicle,Tony Stark - Iron Man,sighting,0:02:26,0:00:02,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Texaco,sign,establishement,Tony Stark - Iron Man,sighting,0:02:32,0:00:02,Garage workshop,subtle,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:02:32,0:00:02,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:02:42,0:00:05,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,Tony Stark - Iron Man,sighting,0:02:42,0:00:05,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Goodyear,tire(s),vehicle,Tony Stark - Iron Man,sighting,0:02:42,0:00:05,Garage workshop,background,Yes,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,Tony Stark - Iron Man,sighting,0:02:56,0:00:02,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Saleen,car,vehicle,Tony Stark - Iron Man,sighting,0:02:58,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Ford,Car,vehicle,Tony Stark - Iron Man,sighting,0:02:58,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,Car,vehicle,tony Stark - Iron Man,sighting,0:02:59,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Saleen,car,vehicle,Tony Stark - Iron Man,sighting,0:03:02,0:00:02,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Ford,Car,vehicle,Tony Stark - Iron Man,sighting,0:03:02,0:00:02,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,Car,vehicle,tony Stark - Iron Man,sighting,0:03:02,0:00:02,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:03:02,0:00:02,workshop,background,Yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:03:14,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Saleen,car,vehicle,Tony Stark - Iron Man,sighting,0:03:20,0:00:03,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Ford,Car,vehicle,Tony Stark - Iron Man,sighting,0:03:20,0:00:03,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,Car,vehicle,tony Stark - Iron Man,sighting,0:03:20,0:00:03,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:03:20,0:00:03,workshop,background,Yes,,Robert Downey Jr.,male,43,white,,,,,
Texaco,sign,establishement,Tony Stark - Iron Man,sighting,0:03:28,0:00:01,Garage workshop,subtle,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:03:28,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Santa Monica Pier,Ferris Wheel,entertainment,Tony Stark - Iron Man,sighting,0:03:52,0:00:08,Santa Monica Pier,background,no,,Robert Downey Jr.,male,43,white,,,,,
Santa Monica Pier,Ferris Wheel,entertainment,Tony Stark - Iron Man,sighting,0:04:00,0:00:01,Santa Monica Pier,obvious,no,"""Santa Monica Ferris Wheel""",Robert Downey Jr.,male,43,white,,,,,
Santa Monica Pier,Ferris Wheel,entertainment,Tony Stark - Iron Man,sighting,0:04:03,0:00:03,Santa Monica Pier,obvious,no,"""Santa Monica Ferris Wheel""",Robert Downey Jr.,male,43,white,,,,,
Santa Monica Pier,Ferris Wheel,entertainment,Tony Stark - Iron Man,sighting,0:04:08,0:00:01,Santa Monica Pier,background,no,"""Santa Monica Ferris Wheel""",Robert Downey Jr.,male,43,white,,,,,
Bluthner,instrument,music,Tony Stark - Iron Man,sighting,0:05:38,0:00:01,living room,obvious,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,Tony Stark - Iron Man,sighting,0:05:40,0:00:04,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Saleen,car,vehicle,Tony Stark - Iron Man,sighting,0:05:40,0:00:04,Garage workshop,subtle,yes,,Robert Downey Jr.,male,43,white,,,,,
Ford,car,vehicle,Tony Stark - Iron Man,sighting,0:05:43,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,car,vehicle,Tony Stark - Iron Man,sighting,0:05:43,0:00:01,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Saleen,car,vehicle,Tony Stark - Iron Man,sighting,0:05:45,0:00:04,Garage workshop,subtle,yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,tony Stark - Iron Man,sighting,0:06:03,0:00:03,workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:07:03,0:00:06,workshop,subtle,Yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:07:03,0:00:06,workshop,background,yes,,robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:07:10,0:00:02,workshop,subtle,Yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:07:12,0:00:03,workshop,background,yes,,robert Downey Jr.,male,43,white,,,,,
