brand,product,category,character,type,time,duration,location,visibility,hasLogo,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:00:13,0:00:05,garage workshop,discreet,yes,Robert Downey Jr.,male,43,white,,,,,0:50:13
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:00:21,0:00:06,garage workshop,discreet,yes,Robert Downey Jr.,male,43,white,,,,,0:50:21
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:00:30,0:00:36,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:50:30
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:08,0:00:04,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:51:08
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:15,0:00:01,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:51:15
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:22,0:00:01,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:51:22
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:30,0:00:22,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:51:30
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:55,0:00:16,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:51:55
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:02:12,0:00:23,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:52:12
Bulgari,watch,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:04:14,0:00:04,garage workshop,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:54:14
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:04:21,0:00:01,garage workshop,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:54:21
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:04:23,0:00:13,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:54:23
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:04:23,0:00:12,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:54:23
LG,tv,device,Tony Stark - Iron Man,sighting,0:04:36,0:00:03,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:54:36
Purol Pep,sign,advertising,Tony Stark - Iron Man,sighting,0:04:40,0:00:10,garage workshop,background,yes,Robert Downey Jr.,male,43,white,,,,,0:54:40
Eames,chair,home,Tony Stark - Iron Man,sighting,0:04:35,0:00:15,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:54:35
Audi,car,vehicle,Tony Stark - Iron Man,sighting,0:05:33,0:00:04,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:55:33
Ford,car,vehicle,Tony Stark - Iron Man,sighting,0:05:33,0:00:10,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:55:33
Saleen,car,vehicle,Tony Stark - Iron Man,sighting,0:05:37,0:00:11,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:55:37
Tesla,car,vehicle,Tony Stark - Iron Man,sighting,0:05:43,0:00:09,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:55:43
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:05:33,0:00:19,garage workshop,discreet,yes,-,male,-,white,,,,,0:55:33
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:05:52,0:00:18,garage workshop,subtle,yes,-,male,-,white,,,,,0:55:52
LG,tv,device,Tony Stark - Iron Man,sighting,0:06:11,0:00:06,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:56:11
Purol Pep,sign,advertising,Tony Stark - Iron Man,sighting,0:06:11,0:00:06,garage workshop,background,yes,Robert Downey Jr.,male,43,white,,,,,0:56:11
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:06:11,0:00:06,garage workshop,discreet,no,-,male,-,white,,,,,0:56:11
LG,tv,device,Tony Stark - Iron Man,sighting,0:06:19,0:00:05,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:56:19
Purol Pep,sign,advertising,Tony Stark - Iron Man,sighting,0:06:19,0:00:05,garage workshop,background,yes,Robert Downey Jr.,male,43,white,,,,,0:56:19
Audi,car,vehicle,Tony Stark - Iron Man,sighting,0:06:25,0:00:01,Garage workshop,discreet,no,-,male,-,white,,,,,0:56:25
Ford,car,vehicle,Tony Stark - Iron Man,sighting,0:06:25,0:00:01,Garage workshop,discreet,no,-,male,-,white,,,,,0:56:25
Goodyear,tire(s),vehicle,tony Stark - Iron Man,sighting,0:06:25,0:00:01,Garage workshop,discreet,yes,robert Downey Jr.,male,43,white,,,,,0:56:25
LG,tv,device,Tony Stark - Iron Man,sighting,0:06:27,0:00:23,garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:56:27
Purol Pep,sign,advertising,Tony Stark - Iron Man,sighting,0:06:27,0:00:23,garage workshop,background,yes,Robert Downey Jr.,male,43,white,,,,,0:56:27
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:06:27,0:00:23,garage workshop,discreet,no,-,male,-,white,,,,,0:56:27
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:06:51,0:00:03,workshop,subtle,yes,Robert Downey Jr.,male,43,white,,,,,0:56:51
RPL,mug,device,Tony Stark - Iron Man,sighting,0:06:55,0:00:03,workshop,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:56:55
LG,tv,device,Tony Stark - Iron Man,sighting,0:06:59,0:00:07,workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:56:59
