brand,product,category,character,type,time,duration,location,visibility,hasLogo,quote,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:00:12,0:00:03,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:00:17,0:00:06,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Perrier,water bottle,food & drink,Pepper Potts - Iron Man,sighting,0:00:30,0:00:02,garage workshop,background,yes,,Gwyneth Paltrow,Female,36,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:00:30,0:00:05,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:00:37,0:00:03,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Perrier,water bottle,food & drink,Pepper Potts - Iron Man,sighting,0:01:14,0:00:10,garage workshop,background,yes,,Gwyneth Paltrow,Female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:01:58,0:00:03,Office,close-up,yes,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:02:08,0:00:01,Office,close-up,yes,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:03:12,0:00:05,Office,subtle,yes,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:03:21,0:00:01,Office,subtle,yes,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:03:23,0:00:01,Office,close-up,yes,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:03:24,0:00:01,Office,subtle,yes,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:03:51,0:00:06,Office,obvious,yes,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:04:51,0:00:07,Office,subtle,yes,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:05:01,0:00:03,Office,background,no,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Obadiah Stane - Iron Man,sighting,0:05:33,0:00:02,Office,subtle,no,,Jeff Bridges,male,59,white,,,,,
Dell,monitor,device,Obadiah Stane - Iron Man,sighting,0:05:38,0:00:02,Office,subtle,no,,Jeff Bridges,male,59,white,,,,,
Vtech,phone,device,Tony Stark - Iron Man,sighting,0:06:52,0:00:01,Living room,close-up,yes,,robert Downey Jr.,male,43,white,,,,,
