brand,product,category,character,type,time,duration,location,visibility,hasLogo,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Rolls-Royce,car,vehicle,Pepper Potts - Iron Man,Sighting,0:02:05,0:00:02,airport,subtle,yes,Gwyneth Paltrow,female,36,white,,,,,0:42:05
Rolls-Royce,car,vehicle,Pepper Potts - Iron Man,Sighting,0:02:14,0:00:02,airport,background,no,Gwyneth Paltrow,female,36,white,,,,,0:42:14
Rolls-Royce,car,vehicle,-,Sighting,0:03:09,0:00:03,airport,background,no,-,-,-,-,,,,,0:43:09
Chevrolet,car,vehicle,-,Sighting,0:03:09,0:00:03,airport,background,no,-,-,-,-,,,,,0:43:09
Rolls-Royce,car,vehicle,-,Sighting,0:03:17,0:00:07,business park,obvious,yes,-,-,-,-,,,,,0:43:17
Burger King,food,establishement,Tony Stark - Iron Man,sighting,0:03:31,0:00:10,business park,subtle,yes,Robert Downey Jr.,male,43,white,,,,,0:43:31
Burger King,food,establishement,Tony Stark - Iron Man,sighting,0:04:28,0:00:01,conference,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:44:28
Burger King,food,establishement,Tony Stark - Iron Man,sighting,0:04:33,0:00:02,conference,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:44:33
Burger King,food,establishement,Tony Stark - Iron Man,sighting,0:04:38,0:00:01,conference,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:44:38
Burger King,food,establishement,Tony Stark - Iron Man,sighting,0:04:44,0:00:07,conference,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:44:44
Rolls-Royce,car,vehicle,-,Sighting,0:04:17,0:00:02,business park,subtle,no,-,-,-,-,,,,,0:44:17
Segway,electric vehicle,vehicle,Obadiah Stane - Iron Man,sighting,0:06:17,0:00:07,business park,subtle,no,Jeff Bridges,male,59,white,,,,,0:46:17
Mad Money,tv show,entertainment,Pepper Potts - Iron Man,sighting,0:08:38,0:00:10,living room,close-up,yes,Gwyneth Paltrow,female,36,white,,,,,0:48:38
Eames,chair,home,Pepper Potts - Iron Man,sighting,0:08:48,0:00:03,living room,background,no,Gwyneth Paltrow,female,36,white,,,,,0:48:48
Mad Money,tv show,entertainment,Pepper Potts - Iron Man,sighting,0:08:52,0:00:04,living room,close-up,yes,Gwyneth Paltrow,female,36,white,,,,,0:48:52
Mad Money,tv show,entertainment,Pepper Potts - Iron Man,sighting,0:08:58,0:00:03,living room,obvious,yes,Gwyneth Paltrow,female,36,white,,,,,0:48:58
Mad Money,tv show,entertainment,Pepper Potts - Iron Man,sighting,0:09:03,0:00:01,living room,obvious,yes,Gwyneth Paltrow,female,36,white,,,,,0:49:03
Vtech,electronic,device,Pepper Potts - Iron Man,sighting,0:09:03,0:00:01,living room,subtle,yes,Gwyneth Paltrow,female,36,white,,,,,0:49:03
Mad Money,tv show,entertainment,Pepper Potts - Iron Man,sighting,0:09:06,0:00:01,living room,obvious,yes,Gwyneth Paltrow,female,36,white,,,,,0:49:06
Vtech,electronic,device,Pepper Potts - Iron Man,sighting,0:09:06,0:00:01,living room,subtle,yes,Gwyneth Paltrow,female,36,white,,,,,0:49:06
Eames,chair,home,Pepper Potts - Iron Man,sighting,0:09:10,0:00:02,living room,background,no,Gwyneth Paltrow,female,36,white,,,,,0:49:10
Purol Pep,sign,advertising,Tony Stark - Iron Man,sighting,0:09:17,0:00:07,garage workshop,background,yes,Robert Downey Jr.,male,43,white,,,,,0:49:17
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:09:17,0:00:07,garage workshop,discreet,no,Robert Downey Jr.,male,43,white,,,,,0:49:17
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:09:25,0:00:02,garage workshop,background,yes,Robert Downey Jr.,male,43,white,,,,,0:49:25
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:09:27,0:00:46,garage workshop,background,yes,Robert Downey Jr.,male,43,white,,,,,0:49:27
