brand,product,category,character,type,time,duration,location,visibility,hasLogo,quote,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Dell,monitor,device,Air Force,sighting,0:00:28,0:00:01,military control room,background,yes,,-,male,-,white,,,,,
Dell,monitor,device,Air Force,sighting,0:00:31,0:00:01,military control room,obvious,yes,,-,male,-,black,,,,,
Dell,mouse & keyboard,device,Air Force,sighting,0:00:32,0:00:01,military control room,subtle,yes,,-,male,-,white,,,,,
Dell,monitor,device,Air Force,sighting,0:00:35,0:00:10,military control room,subtle,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:01:03,0:00:01,military control room,subtle,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:01:11,0:00:01,military control room,background,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:01:18,0:00:02,military control room,subtle,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:01:57,0:00:01,military control room,background,no,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:02:16,0:00:01,military control room,background,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:03:01,0:00:01,military control room,subtle,yes,,-,-,-,-,,,,,
LG,phone,device,Rhodey - Iron Man,sighting,0:03:17,0:00:01,military control room,close-up,yes,,Terrence Howard,male,39,black,,,,,
Verizon,phone,device,Rhodey - Iron Man,sighting,0:03:17,0:00:01,military control room,close-up,yes,,Terrence Howard,male,39,black,,,,,
LG,phone,device,Rhodey - Iron Man,sighting,0:03:23,0:00:07,military control room,discreet,no,,Terrence Howard,male,39,black,,,,,
LG,phone,device,Rhodey - Iron Man,sighting,0:03:31,0:00:02,military control room,discreet,no,,Terrence Howard,male,39,black,,,,,
LG,phone,device,Rhodey - Iron Man,sighting,0:03:37,0:00:01,military control room,discreet,no,,Terrence Howard,male,39,black,,,,,
LG,phone,device,Rhodey - Iron Man,sighting,0:03:39,0:00:02,military control room,discreet,no,,Terrence Howard,male,39,black,,,,,
Dell,monitor,device,Air Force,sighting,0:03:38,0:00:01,military control room,subtle,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:04:03,0:00:01,military control room,subtle,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:04:06,0:00:01,military control room,subtle,yes,,-,-,-,-,,,,,
Panasonic,tv,device,Air Force,sighting,0:04:18,0:00:01,military control room,close-up,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:04:39,0:00:02,military control room,subtle,yes,,-,-,-,-,,,,,
Dell,monitor,device,Air Force,sighting,0:05:05,0:00:01,military control room,subtle,yes,,-,-,-,-,,,,,
LG,phone,device,Rhodey - Iron Man,sighting,0:05:12,0:00:09,military control room,discreet,no,,Terrence Howard,male,39,black,,,,,
LG,phone,device,Rhodey - Iron Man,sighting,0:05:25,0:00:06,military control room,discreet,no,,Terrence Howard,male,39,black,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:06:10,0:00:10,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Ford,Car,vehicle,Tony Stark - Iron Man,sighting,0:06:10,0:00:10,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,Car,vehicle,tony Stark - Iron Man,sighting,0:06:10,0:00:10,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:06:10,0:00:10,Garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
LG,tv,device,tony Stark - Iron Man,sighting,0:06:21,0:00:04,workshop,background,no,,robert Downey Jr.,male,43,white,,,,,
Purol Pep,sign,advertising,tony Stark - Iron Man,sighting,0:06:21,0:00:04,workshop,background,yes,,robert Downey Jr.,male,43,white,,,,,
Chevrolet,truck,vehicle,-,sighting,0:06:41,0:00:04,desert,obvious,yes,,robert Downey Jr.,male,43,white,,,,,
Chevrolet,truck,vehicle,-,sighting,0:07:31,0:00:02,desert,discreet,yes,,robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:09:26,0:00:07,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:09:26,0:00:15,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Pepper Potts - Iron Man,sighting,0:09:47,0:00:04,workshop,background,no,,Gwyneth Paltrow,female,36,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:09:56,0:00:06,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
