brand,product,category,character,type,time,duration,location,visibility,hasLogo,quote,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
MoՉt & Chandon,champagne,food & drink,tony Stark - Iron Man,sighting,0:02:41,0:00:01,formal event,discreet,yes,,Robert Downey Jr.,male,43,white,,,,,
MoՉt & Chandon,champagne,food & drink,tony Stark - Iron Man,sighting,0:02:47,0:00:03,formal event,discreet,yes,,Robert Downey Jr.,male,43,white,,,,,
LG,tv,device,tony Stark - Iron Man,sighting,0:04:34,0:00:16,workshop,obvious,yes,,Robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,tony Stark - Iron Man,sighting,0:04:50,0:00:11,workshop,background,yes,,robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:04:50,0:00:11,workshop,background,yes,,robert Downey Jr.,male,43,white,,,,,
LG,tv,device,tony Stark - Iron Man,sighting,0:05:02,0:00:03,workshop,obvious,yes,,robert Downey Jr.,male,43,white,,,,,
LG,tv,device,tony Stark - Iron Man,sighting,0:05:09,0:00:04,workshop,obvious,yes,,robert Downey Jr.,male,43,white,,,,,
LG,tv,device,tony Stark - Iron Man,sighting,0:05:16,0:00:08,workshop,background,yes,,robert Downey Jr.,male,43,white,,,,,
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:05:24,0:00:03,garage workshop,background,yes,,Robert Downey Jr.,Male,43,white,,,,,
LG,tv,device,tony Stark - Iron Man,sighting,0:05:28,0:00:02,workshop,subtle,yes,,robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:05:33,0:00:01,garage workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:05:42,0:00:02,garage workshop,background,yes,,Robert Downey Jr.,Male,43,white,,,,,
Texaco,sign,establishement,Tony Stark - Iron Man,sighting,0:06:22,0:00:02,Garage workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,Tony Stark - Iron Man,sighting,0:06:22,0:00:02,Garage workshop,discreet,no,,Robert Downey Jr.,male,43,white,,,,,
Tesla,car,vehicle,Tony Stark - Iron Man,sighting,0:06:44,0:00:09,Garage workshop,background,No,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:06:44,0:00:09,Garage workshop,discreet,no,,Robert Downey Jr.,male,43,white,,,,,
