brand,product,category,character,type,time,duration,location,visibility,hasLogo,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Verizon,phone,device,Tony Stark - Iron Man,Sighting,0:05:58,0:00:01,desert,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:15:58
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:06:00,0:00:01,desert,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:16:00
LG,phone,device,Tony Stark - Iron Man,Sighting,0:06:00,0:00:01,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:16:00
LG,phone,device,Tony Stark - Iron Man,Sighting,0:06:01,0:00:02,desert,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:16:01
Verizon,phone,device,Tony Stark - Iron Man,Sighting,0:06:01,0:00:02,desert,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:16:01
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:06:03,0:00:02,desert,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:16:03
LG,phone,device,Tony Stark - Iron Man,Sighting,0:06:03,0:00:02,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:16:03
LG,phone,device,Tony Stark - Iron Man,Sighting,0:06:05,0:00:04,desert,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:16:05
Verizon,phone,device,Tony Stark - Iron Man,Sighting,0:06:05,0:00:04,desert,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:16:05
LG,phone,device,Tony Stark - Iron Man,Sighting,0:06:09,0:00:03,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:16:09
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:06:15,0:00:03,desert,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:16:15
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:06:20,0:00:01,desert,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:16:20
