brand,product,category,character,type,time,duration,location,visibility,hasLogo,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:01:23,0:00:07,desert,subtle,Yes,Robert Downey Jr.,male,43,white,,,,,0:01:23
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:01:32,0:00:02,desert,subtle,Yes,Robert Downey Jr.,male,43,white,,,,,0:01:32
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:01:36,0:00:02,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:01:36
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:01:40,0:00:02,desert,subtle,Yes,Robert Downey Jr.,male,43,white,,,,,0:01:40
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:01:44,0:00:01,desert,subtle,Yes,Robert Downey Jr.,male,43,white,,,,,0:01:44
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:01:48,0:00:05,desert,subtle,Yes,Robert Downey Jr.,male,43,white,,,,,0:01:48
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:01:57,0:00:01,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:01:57
Maxim,magazine,entertainment,-,mention,0:01:59,0:00:03,desert,-,-,-,-,-,-,,,,,0:01:59
Canon,camera,device,Tony Stark - Iron Man,sighting,0:02:20,0:00:01,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:02:20
Canon,camera,device,Tony Stark - Iron Man,sighting,0:02:30,0:00:01,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:02:30
Canon,camera,device,Tony Stark - Iron Man,sighting,0:02:33,0:00:01,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:02:33
MySpace,website,non-tangible component,Tony Stark - Iron Man,mention,0:02:22,0:00:01,desert,-,-,-,-,-,-,,,,,0:02:22
LG,phone,device,Tony Stark - Iron Man,sighting,0:03:21,0:00:06,desert,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:03:21
Apogee,award,entertainment,Tony Stark - Iron Man,sighting,0:04:22,0:00:04,formal event,subtle,yes,Robert Downey Jr.,male,43,white,,,,,0:04:22
Wired,magazine,entertainment,Tony Stark - Iron Man,sighting,0:04:24,0:00:02,formal event,subtle,yes,Robert Downey Jr.,male,43,white,,,,,0:04:24
Wired,magazine,entertainment,Tony Stark - Iron Man,sighting,0:04:27,0:00:01,formal event,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:04:27
Popular Mechanics,magazine,entertainment,Tony Stark - Iron Man,sighting,0:04:39,0:00:03,formal event,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:04:39
MIT,magazine,entertainment,Tony Stark - Iron Man,sighting,0:04:43,0:00:03,formal event,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:04:43
The Washington Times,newspaper,entertainment,Tony Stark - Iron Man,sighting,0:04:47,0:00:01,formal event,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:04:47
Newsweek,magazine,entertainment,Obadiah Stane - Iron Man,sighting,0:04:54,0:00:04,formal event,close-up,yes,Jeff Bridges,male,59,white,,,,,0:04:54
Forbes,magazine,entertainment,Tony Stark - Iron Man,sighting,0:04:59,0:00:04,formal event,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:04:59
Rolling Stone,magazine,entertainment,Obadiah Stane - Iron Man,sighting,0:05:13,0:00:06,formal event,close-up,yes,Jeff Bridges,male,59,white,,,,,0:05:13
Apogee,award,entertainment,Rhodey - Iron Man,sighting,0:05:25,0:00:05,formal event,subtle,yes,Terrence Howard,male,39,black,,,,,0:05:25
Caesars Palace,casino,establishement,Rhodey - Iron Man,sighting,0:05:31,0:00:10,formal event,subtle,yes,Terrence Howard,male,39,black,,,,,0:05:31
Apogee,award,entertainment,Rhodey - Iron Man,sighting,0:05:48,0:00:02,formal event,subtle,yes,Terrence Howard,male,39,black,,,,,0:05:48
Caesars Palace,casino,establishement,Obadiah Stane - Iron Man,sighting,0:06:05,0:00:08,formal event,subtle,yes,Jeff Bridges,male,59,white,,,,,0:06:05
Caesars Palace,casino,establishement,Obadiah Stane - Iron Man,sighting,0:06:17,0:00:03,formal event,subtle,yes,Jeff Bridges,male,59,white,,,,,0:06:17
