id,value
Penobscot,
Penobscot.George Gustav Heye,
Penobscot.George Gustav Heye.Harvard University Peabody Museum,
Penobscot.George Gustav Heye.Smithsonian Institution National Museum of the American Indian,
Penobscot.George Gustav Heye.Cornell University,
Penobscot.George Gustav Heye.Yale University Peabody Museum,
Penobscot.Charles Godfrey Leland,
Penobscot.Charles Godfrey Leland.British Library,
Penobscot.Charles Godfrey Leland.Columbia University,
Penobscot.Charles Godfrey Leland.Historical Society of Pennsylvania,
Penobscot.Charles Godfrey Leland.New York Public Library,
Penobscot.Charles Godfrey Leland.Princeton University,
Penobscot.Charles Godfrey Leland.University of Virginia,
Penobscot.N/A,
Penobscot.N/A.Boston Children's Museum,
Penobscot.N/A.Peabody Essex,
Penobscot.N/A.Abbe Museum,
Penobscot.N/A.University of Maine Hudson Museum,
Penobscot.N/A.Maine State Museum,
Penobscot.N/A.American Philosophical Society,
Penobscot.N/A.Smithsonian Institution National Museum of Natural History,
Penobscot.N/A.Dartmouth College,
Penobscot.N/A.Smithsonian Institution National Anthropological Archives,
Penobscot.N/A.Canadian Museum of History,
Penobscot.N/A.University of Pennsylvania,
Penobscot.N/A.Denver Museum of Nature and Science,
Penobscot.N/A.Field Museum of Natural History,
Penobscot.N/A.Heard Museum,
Penobscot.N/A.Davistown Museum,
Penobscot.N/A.Colby College Museum of Art,
Penobscot.N/A.Bates College,
Penobscot.N/A.Bowdoin College,
Penobscot.N/A.Dartmouth College Hood Museum of Art,
Penobscot.N/A.Fairbanks Museum and Planetarium,
Penobscot.N/A.Florence Museum of Anthropology and Ethnology,
Penobscot.N/A.University of British Columbia,
