"rank","name","country","countrycode","time","timeBehind","performance","year","sport","gender","event","allbutfirst005percentfaster_time","allbutfirst005percentfaster_performance","allbutfirst005percentfaster_rank","allbutmedalists005percentfaster_time","allbutmedalists005percentfaster_performance","allbutmedalists005percentfaster_rank","allbutfirst01percentfaster_time","allbutfirst01percentfaster_performance","allbutfirst01percentfaster_rank","allbutmedalists01percentfaster_time","allbutmedalists01percentfaster_performance","allbutmedalists01percentfaster_rank","allbutfirst02percentfaster_time","allbutfirst02percentfaster_performance","allbutfirst02percentfaster_rank","allbutmedalists02percentfaster_time","allbutmedalists02percentfaster_performance","allbutmedalists02percentfaster_rank","allbutfirst05percentfaster_time","allbutfirst05percentfaster_performance","allbutfirst05percentfaster_rank","allbutmedalists05percentfaster_time","allbutmedalists05percentfaster_performance","allbutmedalists05percentfaster_rank","allbutfirst1percentfaster_time","allbutfirst1percentfaster_performance","allbutfirst1percentfaster_rank","allbutmedalists1percentfaster_time","allbutmedalists1percentfaster_performance","allbutmedalists1percentfaster_rank","genderEvent","position"
3,"Beat FEUZ","Switzerland","SUI",100.43,0.180000000000007,99.82077068605,2018,"Alpine","men","Downhill",100.379810094953,99.870681071393,3,100.43,99.82077068605,3,100.32967032967,99.920591456736,3,100.43,99.82077068605,3,100.229540918164,100.020412227422,2,100.43,99.82077068605,3,99.9303482587065,100.31987453948,2,100.43,99.82077068605,4,99.4356435643564,100.81897839291,2,100.43,99.82077068605,8,"men Downhill",3
4,"Dominik PARIS","Italy","ITA",100.79,0.539999999999992,99.4642325627542,2018,"Alpine","men","Downhill",100.739630184908,99.5139646790356,4,100.739630184908,99.5139646790356,4,100.689310689311,99.563696795317,4,100.689310689311,99.563696795317,4,100.588822355289,99.6631610278797,4,100.588822355289,99.6631610278797,4,100.28855721393,99.961553725568,4,100.28855721393,99.961553725568,2,99.7920792079208,100.458874888382,3,99.7920792079208,100.458874888382,1,"men Downhill",4
5,"Thomas DRESSEN","Germany","GER",101.03,0.780000000000001,99.2279520934376,2018,"Alpine","men","Downhill",100.979510244878,99.2775660694843,5,100.979510244878,99.2775660694843,5,100.929070929071,99.327180045531,5,100.929070929071,99.327180045531,5,100.828343313373,99.4264079976245,5,100.828343313373,99.4264079976245,5,100.52736318408,99.7240918539048,5,100.52736318408,99.7240918539048,5,100.029702970297,100.220231614372,4,100.029702970297,100.220231614372,2,"men Downhill",5
6,"Peter FILL","Italy","ITA",101.08,0.829999999999998,99.1788682231896,2018,"Alpine","men","Downhill",101.029485257371,99.2284576573011,6,101.029485257371,99.2284576573011,6,100.979020979021,99.2780470914127,6,100.979020979021,99.2780470914127,6,100.878243512974,99.3772259596359,6,100.878243512974,99.3772259596359,6,100.577114427861,99.6747625643055,6,100.577114427861,99.6747625643055,6,100.079207920792,100.170656905421,5,100.079207920792,100.170656905421,3,"men Downhill",6
7,"Vincent KRIECHMAYR","Austria","AUT",101.19,0.939999999999998,99.071054452021,2018,"Alpine","men","Downhill",101.139430284858,99.120589979247,7,101.139430284858,99.120589979247,7,101.088911088911,99.170125506473,7,101.088911088911,99.170125506473,7,100.988023952096,99.269196560925,7,100.988023952096,99.269196560925,7,100.686567164179,99.566409724281,7,100.686567164179,99.566409724281,7,100.188118811881,100.061764996541,6,100.188118811881,100.061764996541,4,"men Downhill",7
8,"Brice ROGER","France","FRA",101.39,1.14,98.8756287602328,2018,"Alpine","men","Downhill",101.339330334833,98.9250665746129,8,101.339330334833,98.9250665746129,8,101.288711288711,98.974504388993,8,101.288711288711,98.974504388993,8,101.187624750499,99.0733800177532,8,101.187624750499,99.0733800177532,8,100.885572139303,99.3700069040339,8,100.885572139303,99.3700069040339,8,100.386138613861,99.8643850478351,8,100.386138613861,99.8643850478351,7,"men Downhill",8
1,"Marcel HIRSCHER","Austria","AUT",138.04,0,100,2018,"Alpine","men","Giant Slalom",138.04,100,1,138.04,100,1,138.04,100,1,138.04,100,1,138.04,100,1,138.04,100,1,138.04,100,1,138.04,100,1,138.04,100,3,138.04,100,1,"men Giant Slalom",1
2,"Henrik KRISTOFFERSEN","Norway","NOR",139.31,1.27000000000001,99.0883640801091,2018,"Alpine","men","Giant Slalom",139.240379810095,99.1379082621492,2,139.31,99.0883640801091,2,139.170829170829,99.1874524441892,2,139.31,99.0883640801091,2,139.031936127745,99.2865408082693,2,139.31,99.0883640801091,2,138.616915422886,99.5838059005096,2,139.31,99.0883640801091,6,137.930693069307,100.07924772091,1,139.31,99.0883640801091,7,"men Giant Slalom",2
3,"Alexis PINTURAULT","France","FRA",139.35,1.31,99.0599210620739,2018,"Alpine","men","Giant Slalom",139.28035982009,99.1094510226049,3,139.35,99.0599210620739,3,139.210789210789,99.158980983136,3,139.35,99.0599210620739,3,139.071856287425,99.2580409041981,3,139.35,99.0599210620739,3,138.65671641791,99.5552206673843,3,139.35,99.0599210620739,7,137.970297029703,100.050520272695,2,139.35,99.0599210620739,8,"men Giant Slalom",3
4,"Zan KRANJEC","Slovenia","SLO",139.77,1.73000000000002,98.762252271589,2018,"Alpine","men","Giant Slalom",139.700149925037,98.8116333977248,4,139.700149925037,98.8116333977248,4,139.63036963037,98.8610145238606,4,139.63036963037,98.8610145238606,4,139.491017964072,98.9597767761322,4,139.491017964072,98.9597767761322,4,139.074626865672,99.256063532947,4,139.074626865672,99.256063532947,2,138.386138613861,99.7498747943049,4,138.386138613861,99.7498747943049,2,"men Giant Slalom",4
5,"Thomas FANARA","France","FRA",139.83,1.78999999999999,98.7198741328756,2018,"Alpine","men","Giant Slalom",139.76011994003,98.7692340699421,5,139.76011994003,98.7692340699421,5,139.69030969031,98.8185940070085,5,139.69030969031,98.8185940070085,5,139.550898203593,98.9173138811414,5,139.550898203593,98.9173138811414,5,139.134328358209,99.21347350354,5,139.134328358209,99.21347350354,3,138.445544554455,99.7070728742044,5,138.445544554455,99.7070728742044,3,"men Giant Slalom",5
6,"Victor MUFFAT-JEANDET","France","FRA",139.85,1.81,98.7057561673221,2018,"Alpine","men","Giant Slalom",139.780109945027,98.7551090454058,6,139.780109945027,98.7551090454058,6,139.71028971029,98.8044619234894,6,139.71028971029,98.8044619234894,6,139.570858283433,98.9031676796568,6,139.570858283433,98.9031676796568,6,139.154228855721,99.1992849481587,6,139.154228855721,99.1992849481587,4,138.465346534653,99.6928137289953,6,138.465346534653,99.6928137289953,4,"men Giant Slalom",6
7,"Mathieu FAIVRE","France","FRA",139.99,1.95000000000002,98.60704336024,2018,"Alpine","men","Giant Slalom",139.92003998001,98.6563468819201,7,139.92003998001,98.6563468819201,7,139.85014985015,98.7056504036002,7,139.85014985015,98.7056504036002,7,139.710578842315,98.8042574469605,7,139.710578842315,98.8042574469605,7,139.293532338308,99.1000785770412,7,139.293532338308,99.1000785770412,5,138.60396039604,99.5931137938424,7,138.60396039604,99.5931137938424,5,"men Giant Slalom",7
