"year","gender","distance","stroke","rank","name","country","countrycode","time","timeBehind","genderDistance"
"2009","men","100","fly"," 5","Andrew LAUTERSTEIN","Australia","AUS","50.85","1.03","men 100"
"2009","men","100","fly"," 6","Jason DUNFORD","Kenya","KEN","51.07","1.25","men 100"
"2009","men","100","fly"," 7","Tyler MCGILL","United States","USA","51.42","1.60","men 100"
"2009","men","100","fly"," 8","Gabriel MANGABEIRA","Brazil","BRA","51.74","1.92","men 100"
"2009","men","100","free"," 1","Cesar CIELO FILHO","Brazil","BRA","46.91","0.00","men 100"
"2009","men","100","free"," 2","Alain BERNARD","France","FRA","47.12","0.21","men 100"
"2009","men","100","free"," 3","Frederick BOUSQUET","France","FRA","47.25","0.34","men 100"
"2009","men","100","free"," 4","Brent HAYDEN","Canada","CAN","47.27","0.36","men 100"
"2009","men","100","free"," 5","David WALTERS","United States","USA","47.33","0.42","men 100"
"2009","men","100","free"," 6","Stefan NYSTRAND","Sweden","SWE","47.37","0.46","men 100"
"2009","men","100","free"," 7","Lyndon FERNS","South Africa","RSA","47.94","1.03","men 100"
"2009","men","100","free"," 8","Nicolas OLIVEIRA","Brazil","BRA","48.01","1.10","men 100"
"2009","women"," 50","back"," 1","Jing ZHAO","China","CHN","27.06","0.00","women 50"
"2009","women"," 50","back"," 2","Daniela SAMULSKI","Germany","GER","27.23","0.17","women 50"
"2009","women"," 50","back"," 3","Chang GAO","China","CHN","27.28","0.22","women 50"
"2009","women"," 50","back"," 4","Anastasia ZUEVA","Russia","RUS","27.31","0.25","women 50"
"2009","women"," 50","back"," 5","Aleksandra GERASIMENYA","Belarus","BLR","27.62","0.56","women 50"
"2009","women"," 50","back"," 6","Sophie EDINGTON","Australia","AUS","27.73","0.67","women 50"
"2009","women"," 50","back"," 7","Emily SEEBOHM","Australia","AUS","27.83","0.77","women 50"
"2009","women"," 50","back"," 8","Fabiola MOLINA","Brazil","BRA","27.88","0.82","women 50"
"2009","women"," 50","breast"," 1","Yuliya EFIMOVA","Russia","RUS","30.09","0.00","women 50"
"2009","women"," 50","breast"," 2","Rebecca SONI","United States","USA","30.11","0.02","women 50"
"2009","women"," 50","breast"," 3","Sarah KATSOULIS","Australia","AUS","30.16","0.07","women 50"
"2009","women"," 50","breast"," 4","Moniek NIJHUIS","Netherlands","NED","30.46","0.37","women 50"
"2009","women"," 50","breast"," 5","Annamay PIERSE","Canada","CAN","30.53","0.44","women 50"
"2009","women"," 50","breast"," 6","Kasey CARLSON","United States","USA","30.65","0.56","women 50"
"2009","women"," 50","breast"," 7","Amanda REASON","Canada","CAN","30.67","0.58","women 50"
"2009","women"," 50","breast"," 8","Tarnee WHITE","Australia","AUS","30.91","0.82","women 50"
"2009","women"," 50","fly"," 1","Marieke GUEHRER","Australia","AUS","25.48","0.00","women 50"
"2009","women"," 50","fly"," 2","Yafei ZHOU","China","CHN","25.57","0.09","women 50"
"2009","women"," 50","fly"," 3","Ingvild SNILDAL","Norway","NOR","25.58","0.10","women 50"
"2009","women"," 50","fly"," 4","Therese ALSHAMMAR","Sweden","SWE","25.59","0.11","women 50"
"2009","women"," 50","fly"," 5","Magdalena VELDHUIS","Netherlands","NED","25.63","0.15","women 50"
"2009","women"," 50","fly"," 6","Sarah SJÖSTRÖM","Sweden","SWE","25.66","0.18","women 50"
"2009","women"," 50","fly"," 7","Diane BUI DUYET","France","FRA","25.92","0.44","women 50"
"2009","women"," 50","fly"," 8","Daynara DE PAULA","Brazil","BRA","26.12","0.64","women 50"
"2009","women"," 50","free"," 1","Britta STEFFEN","Germany","GER","23.73","0.00","women 50"
