newClusters	xs	ys
0 	 0.00095635	    -0.084183472
0	 0.003704509	0.007906709
0	-0.222582448	0.024383097
0	-0.210751486	-0.056728252
0	-0.150841799	-0.078177819
0	-0.160708304	-0.215324587
0	-0.291820921	-0.20799674
0	-0.26351617	    0.029146135
0	-0.309171148	-0.148394788
0	-0.320727491	-0.120283308
0	-0.349214133	-0.116474271
0	-0.054167134	-0.219705355
0	 0.197157232	-0.42654356
0	-0.13045622	    0.015264081
0	-0.024063295	-0.060229848
0	-0.062362969	-0.172165352
0	-0.118056752	-0.131838221
0	-0.204115958	-0.091324102
0	-0.214911852	-0.271888783
0	-0.309122549	-0.096598487
0	0.253315969	    -0.354711026
0	-0.332158873	-0.22174403
0	-0.377995308	0.11639627
0	-0.226260608	-0.283849036
0	-0.080722027	-0.097690018
0	-0.081121929	-0.069043621
0	-0.223744863	-0.20220569
0	0.116534984	    0.419921069
0	-0.287957097	-0.299360223
0	-0.016773541	-0.24093623
0	-0.017184483	-0.153840968
0	0.120496811	    0.028963103
0	-0.377698286	-0.051019319
0	-0.445759024	0.0643565
0	-0.405486225	0.007385974
0	-0.23810369	    -0.165249441
0	-0.157276584	-0.110681402
0	-0.363104693	-0.271752128
0	0.240129108	    -0.462047816
0	-0.129399577	-0.304222066
0	0.006645504	    0.031054022
0	0.214642271	    -0.330907993
0	-0.112102477	-0.039924474
0	-0.227885592	-0.134958961
0	-0.418342674	-0.033585804
0	0.15310116	    0.038523606
0	-0.201360034	-0.197703056
0	0.143847934	    -0.181408375
0	-0.079339579	-0.391312692
0	-0.314723008	-0.341892015
0	-0.002207035	-0.224510457
0	0.040649083	    0.170461943
0	-0.451604772	0.135959448
0	-0.3929902	    0.133054715
0	-0.166606811	0.107928484
0	-0.255453208	-0.011558327
0	-0.098988859	0.060015209
0	-0.086616051	0.03411981
0	-0.400994559	0.148748114
0	-0.374645198	0.04269835
0	-0.219182766	0.125030034
0	-0.317476195	0.06426059
0	-0.317476178	0.064260614
0	-0.294006273	-0.108697293
0	0.012452924	    -0.182592106
0	-0.281581819	-0.040831347
0	-0.333363277	-0.354490929
0	0.054668154	    -0.399200158
0	-0.244988762	0.207568014
0	-0.098392246	-0.196106683
0	-0.132548735	-0.156354038
0	-0.07009225	    -0.230218947
0	-0.068302281	-0.283809896
0	-0.075189488	-0.13548265
0	 0.024928787	-0.041265173
0	 0.038200853	-0.195220044
0	 0.183116881	-0.075858368
0	 0.043770084	-0.078120208
0	-0.254521192	-0.344811334
0	 0.420691205	0.094456219
0	-0.438530486	-0.238166494
