newClusters	xs	ys
0 	 0.00095635	    -0.084183472
0	 0.003704509	0.007906709
0	-0.222582448	0.024383097
0	-0.210751486	-0.056728252
0	-0.150841799	-0.078177819
0	-0.160708304	-0.215324587
0	-0.291820921	-0.20799674
0	-0.26351617	    0.029146135
0	-0.309171148	-0.148394788
0	-0.320727491	-0.120283308
0	-0.349214133	-0.116474271
0	-0.054167134	-0.219705355
0	 0.197157232	-0.42654356
0	-0.13045622	    0.015264081
0	-0.024063295	-0.060229848
0	-0.062362969	-0.172165352
0	-0.118056752	-0.131838221
0	-0.204115958	-0.091324102
0	-0.214911852	-0.271888783
0	-0.309122549	-0.096598487
0	0.253315969	    -0.354711026
0	-0.332158873	-0.22174403
0	-0.377995308	0.11639627
0	-0.226260608	-0.283849036
0	-0.080722027	-0.097690018
0	-0.081121929	-0.069043621
0	-0.223744863	-0.20220569
0	0.116534984	    0.419921069
0	-0.287957097	-0.299360223
0	-0.016773541	-0.24093623
0	-0.017184483	-0.153840968
0	0.120496811	    0.028963103
0	-0.377698286	-0.051019319
0	-0.445759024	0.0643565
0	-0.405486225	0.007385974
0	-0.23810369	    -0.165249441
0	-0.157276584	-0.110681402
0	-0.363104693	-0.271752128
0	0.240129108	    -0.462047816
0	-0.129399577	-0.304222066
0	0.006645504	    0.031054022
0	0.214642271	    -0.330907993
0	-0.112102477	-0.039924474
0	-0.227885592	-0.134958961
0	-0.418342674	-0.033585804
0	0.15310116	    0.038523606
0	-0.201360034	-0.197703056
0	0.143847934	    -0.181408375
0	-0.079339579	-0.391312692
0	-0.314723008	-0.341892015
0	-0.002207035	-0.224510457
0	0.040649083	    0.170461943
0	-0.451604772	0.135959448
0	-0.3929902	    0.133054715
0	-0.166606811	0.107928484
0	-0.255453208	-0.011558327
0	-0.098988859	0.060015209
0	-0.086616051	0.03411981
0	-0.400994559	0.148748114
0	-0.374645198	0.04269835
0	-0.219182766	0.125030034
0	-0.317476195	0.06426059
0	-0.317476178	0.064260614
0	-0.294006273	-0.108697293
0	0.012452924	    -0.182592106
0	-0.281581819	-0.040831347
0	-0.333363277	-0.354490929
0	0.054668154	    -0.399200158
0	-0.244988762	0.207568014
0	-0.098392246	-0.196106683
0	-0.132548735	-0.156354038
0	-0.07009225	    -0.230218947
0	-0.068302281	-0.283809896
0	-0.075189488	-0.13548265
0	 0.024928787	-0.041265173
0	 0.038200853	-0.195220044
0	 0.183116881	-0.075858368
0	 0.043770084	-0.078120208
0	-0.254521192	-0.344811334
0	 0.420691205	0.094456219
0	-0.438530486	-0.238166494
1	 0.043351798	0.034966451
1	 -0.388238244	0.234953859
1	 0.262911696	0.348487003
1	 0.163793512	0.332542691
1	 0.096899743	0.373805377
1	 0.084104538	0.50523292
1	 0.078603736	0.55071742
1	 0.438877824	0.032169797
1	 0.162968392	0.505417821
1	 0.263835559	0.242934672
1	-0.181446701	0.206952529
1	 0.391849509	0.269398783
1	 0.000840289	0.51976506
1	 0.318488392	0.320166008
1	 0.126143135	0.442137448
1	 0.308849056	0.263190948
1	 0.306440953	0.506377862
1	 0.521967625	0.258760525
1	 0.125164923	0.205308523
1	 0.21136652	    0.23381417
1	 0.268501025	0.500252632
1	 0.000134231	0.375725997
1	 0.550581041	0.143185995
1	 0.210706076	0.449193062
1	 0.31005951	    0.387853003
1	 0.299059785	0.345028998
1	 0.282760743	0.292935798
1	 0.185182747	0.463285218
1	 0.195936468	0.102355563
1	 0.424399776	0.323242277
1	 0.157418861	0.277645237
1	 0.351106681	0.285024236
1	 0.294368839	0.116568503
1	 0.24757436	    0.070128362
1	 0.342435738	-0.224854672
1	 0.266883089	0.310668667
1	 0.354278358	0.16445477
1	 0.216312347	0.086893909
1	 0.549774038	-0.133657558
1	 0.294140504	0.159556036
1	 0.29227156	    0.063674482
1	 0.223677531	0.035419641
1	 0.411828586	0.146521972
1	 0.290988503	0.300965563
1	 0.223217318	0.140022298
1	 0.432198889	0.128399521
1	 0.039542831	0.24301271
1	 0.229548707	0.337462258
1	 0.25354172	    0.15322472
1	 0.325475786	0.047394235
2	 0.11739265	    -0.272941742
2	-0.040107142	0.473613348
2	 0.073742879	0.247822093
2	 0.04814941	    0.415538408
2	 0.040262896	0.505725892
2	-0.281736793	-0.087575112
2	 0.065470608	0.405978484
2	 0.035758251	0.372496086
2	 0.056595768	0.501016398
2	 0.05026531	    0.554463486
2	 0.072079471	0.419481888
2	 0.034755973	0.43915971
2	 0.053423608	0.43147328
2	 0.060035251	0.479174275
3	-0.521003473	0.201224186
3	-0.360085481	0.262463702
3	-0.212911602	0.075502833
3	-0.223222564	0.056681572
3	-0.000438135	0.086882381
3	-0.11923836	    0.109678365
3	-0.458404803	0.060576765
3	-0.411653748	0.167382397
3	 0.004461407	0.150940457
3	-0.079538219	0.419148492
3	-0.239677849	0.396570571
3	-0.15424674	    0.270663629
3	-0.217136485	0.366850746
3	 0.176611148	0.364030258
3	 0.111822139	0.222110384
3	-0.262732853	0.390917186
3	-0.254545213	0.408790246
3	 0.295117986	0.248290229
3	 0.354126597	0.429422755
3	-0.270352879	0.247356797
3	-0.352299602	0.470299639
3	-0.335049746	0.388367765
3	 0.055338734	0.359895404
3	-0.008244514	0.458957742
3	-0.035789537	0.411251101
3	 0.016634915	0.437948664
3	-0.17224001	    0.401627694
3	 0.247792447	0.401237828
3	-0.300254649	0.272319985
3	 0.170916587	0.408033347
3	 0.260818039	0.477987648
3	-0.2981093	    0.036983687
3	-0.288699876	0.196368817
3	-0.057901449	0.361623566
3	-0.00546839	    0.288994655
3	 0.059145552	0.323097363
3	-0.350971567	0.302235317
3	 0.175178928	0.439641526
3	-0.131508182	0.285992372
3	-0.239897264	0.359850544
3	-0.016597364	0.213852176
3	-0.106575574	0.343244166
3	-0.017638909	0.15126547
3	-0.226895818	0.454842688
3	 0.102814243	0.287916639
3	 0.103712679	0.266104841
3	 0.064182883	0.232944377
3	 0.234646255	0.276329295
3	 0.035595857	0.172511974
3	 0.037527457	0.256033079
3	 0.02549309	    0.315796526
3	 0.224591329	0.411523703
3	 0.135399001	0.478204124
3	-0.073623029	0.279626875
3	-0.108459812	0.443776518
3	m0.140218413	0.309944217
3	-0.051592209	0.270248888
3	-0.1531923	    0.216390765
3	-0.195856482	0.354000303
3	-0.050981204	0.204619328
3	-0.296772077	0.220007949
3	-0.314482945	0.355376958
3	-0.193897732	0.237299663
3	-0.097283125	0.315638079
3	-0.137930138	0.247798067
3	-0.325294813	0.479819354
3	-0.295495888	0.504953401
3	-0.048116827	0.470065035
3	 0.367108265	0.371211488
3	 0.133647633	0.361383325
3	-0.125487899	0.512561689
3	-0.124235469	0.381242575
3	-0.120013746	0.271402203
3	-0.04047924	    0.449015132
3	-0.174983165	0.459866457
3	-0.047158315	0.374601568
3	-0.070732277	0.174370374
3	-0.119054946	0.173826629
3	-0.096826473	0.205338281
3	 0.025947336	0.222462053
3	 0.323155455	0.335275748
3	-0.165848578	0.178270829
3	 0.082578028	0.169034113
3	-0.134689805	0.083498551
3	-0.386058118	0.353274407
3	 0.199969179	0.302487889
3	-0.359758404	0.151858607
3	 0.120493767	0.325439588
3	 0.007492986	0.366021222
3	 0.119913717	0.351632533
3	 0.105161536	0.354364667
3	-0.006987012	0.366621269
4	 0.340086312	0.090518344
4	 0.153761657	-0.002779019
4	 0.198463233	-0.017480787
4	 0.023902637	-0.113893857
4	 0.468433532	-0.133122648
4	 0.102251066	-0.138955167
4	 0.328664494	-0.274163602
4	 0.424233234	-0.240385705
4	 0.430715945	-0.243505656
4	 0.370467649	0.011867412
4	 0.328601453	-0.008396007
4	 0.276954786	0.336527285
4	 0.063255449	-0.151915926
4	 0.034209561	0.131243628
4	 0.211308868	0.175700214
4	 0.107699817	-0.060265812
4	 0.178966117	0.216886071
4	 0.49665872	   0.149784435
4	 0.068650083	0.242418949
4	 0.17652755	   0.539587748
4	 0.103182192	-0.170880325
4	 0.170405397	0.146541824
4	 0.230465186	0.308476876
